filename,width,height,class,xmin,ymin,xmax,ymax
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1066,1022,1092,1045
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1351,1160,1375,1182
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1048,1258,1072,1282
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1400,875,1425,898
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1059,1382,1085,1407
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,846,1152,869,1173
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1328,1187,1354,1212
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,869,1315,895,1339
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1390,927,1414,951
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1052,962,1077,985
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,865,1339,890,1360
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1080,1234,1105,1258
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1363,1131,1385,1154
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1053,1173,1079,1197
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1196,1319,1220,1342
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1235,1394,1260,1418
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1033,1374,1058,1397
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1328,1328,1352,1351
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,981,1343,1006,1366
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,835,1095,858,1118
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1116,1301,1141,1325
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,890,1123,914,1145
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1404,1352,1427,1375
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1409,849,1436,873
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1367,816,1392,838
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1309,1170,1333,1189
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,527,1118,552,1141
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1085,1184,1111,1208
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1301,1151,1329,1174
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1357,1081,1381,1105
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1066,1405,1090,1427
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1264,802,1289,825
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1055,1424,1082,1447
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1262,1144,1288,1169
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1216,1084,1241,1107
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,657,948,680,971
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1333,1251,1360,1273
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1413,1382,1438,1407
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1169,1194,1191,1213
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1081,926,1105,949
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,640,978,664,1004
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1395,1175,1418,1197
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1114,948,1130,971
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,818,868,845,894
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1316,1207,1341,1229
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1169,1129,1196,1151
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1180,1065,1205,1089
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1175,1091,1200,1113
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1314,1069,1339,1093
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1145,1175,1169,1200
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1229,1161,1246,1176
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1262,842,1286,864
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1209,1224,1235,1249
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1146,1057,1174,1078
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,929,1111,953,1134
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1384,1148,1407,1165
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1110,1077,1135,1101
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,956,1167,981,1189
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1383,1131,1406,1148
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1134,1412,1161,1438
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1181,1337,1205,1360
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,814,1093,836,1115
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1128,960,1151,983
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,957,1191,981,1214
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,693,934,716,956
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1324,1272,1350,1291
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1199,800,1224,825
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1310,1051,1332,1073
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1363,771,1387,794
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1335,1090,1358,1112
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1143,867,1168,892
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1367,1108,1392,1130
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1389,1410,1412,1433
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1153,1039,1177,1059
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1115,1007,1141,1029
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1362,1365,1387,1389
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1417,1427,1439,1445
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1154,1255,1174,1277
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1117,1241,1139,1264
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1401,1311,1423,1333
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1065,939,1088,962
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1305,1325,1330,1346
scan82_121318084.jpg_3_1.jpg,2900,2900,seed,1171,1266,1193,1289
