,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10
9585,2,4,3,3,1,5,2,1,3,5
9853,5,5,1,1,1,1,5,5,5,3
7424,2,4,3,2,5,3,2,4,3,4
9517,2,3,1,2,2,1,4,1,5,2
6979,3,2,4,3,3,5,3,3,5,5
9801,1,4,3,4,5,4,4,1,3,4
7103,3,3,1,5,1,3,5,5,3,4
5486,2,4,3,1,3,2,2,2,3,4
7282,2,4,1,3,4,2,3,3,3,5
7250,1,4,3,3,5,1,5,2,5,3
9996,1,5,4,1,5,2,5,4,3,1
9791,1,2,2,5,1,3,4,2,4,4
7013,4,2,4,3,3,4,3,5,5,3
9816,2,2,3,4,4,5,5,2,3,2
763,4,1,4,4,4,2,1,5,3,1
8365,1,5,5,2,1,2,1,1,1,3
9660,4,1,3,5,2,1,4,3,5,5
6434,3,2,4,5,1,3,3,3,1,1
9512,4,4,3,1,2,5,5,1,2,2
7028,1,2,4,3,2,1,2,1,2,3
9786,1,1,2,3,1,2,5,1,4,5
9854,1,4,4,5,1,5,2,4,5,1
7202,3,2,4,5,2,3,4,5,5,2
9772,5,2,3,4,2,4,2,2,1,1
9606,5,2,1,2,2,3,2,5,5,5
6830,1,2,1,4,2,3,1,4,1,3
6923,5,2,5,2,1,3,4,5,1,3
9781,3,4,4,1,1,1,3,3,1,3
9883,2,1,5,5,3,3,2,1,5,2
5748,3,4,4,3,4,1,3,4,2,5
9995,1,4,1,4,1,4,5,2,1,2
5984,3,4,2,1,5,4,1,3,5,1
9790,2,3,1,5,2,1,4,2,4,2
9661,5,5,1,1,5,3,5,1,4,5
9823,2,3,2,3,5,5,5,2,5,5
7067,3,1,2,3,2,3,5,2,3,1
9789,2,5,2,1,2,1,2,1,5,2
8239,5,3,1,3,2,2,2,1,5,3
10002,2,2,1,1,5,4,5,4,2,4
9800,1,1,2,5,2,1,1,3,5,2
9941,5,2,4,4,4,4,2,2,3,4
9792,2,1,2,5,5,4,5,4,1,4
9802,4,4,2,1,2,3,1,4,3,5
9807,5,3,3,5,1,1,2,2,4,1
9774,3,4,1,2,2,1,4,3,2,3
6008,5,2,2,1,5,1,4,4,3,3
7094,3,4,2,2,3,5,2,2,3,4
5236,5,5,4,4,2,5,1,3,2,3
9784,1,1,2,1,5,5,5,1,5,1
9727,3,4,4,1,5,3,3,4,1,4
915,2,4,3,5,5,3,3,3,2,4
9777,2,1,3,3,1,4,1,1,5,3
7165,3,4,2,2,2,2,3,3,3,3
5023,5,5,1,3,1,2,4,4,1,5
9775,3,1,2,4,2,4,3,2,4,3
9771,5,5,5,5,2,2,3,1,3,5
8290,2,2,5,5,2,1,3,1,4,3
6944,3,4,4,3,4,1,3,2,3,4
9911,5,1,3,1,3,4,2,2,3,3
9794,2,2,3,4,1,5,1,3,2,2
7106,1,3,1,2,3,1,3,4,4,5
9798,5,2,2,1,5,4,4,5,4,5
9770,3,5,1,4,5,5,5,5,2,3
9811,4,3,1,1,4,3,4,1,4,5
9608,3,4,1,3,1,4,2,1,3,2
9785,5,5,1,5,5,1,2,5,4,3
10022,1,2,1,2,4,2,3,4,4,4
7231,4,3,1,1,4,4,4,3,1,1
9298,5,2,5,5,1,3,1,4,1,4
9804,4,4,2,1,2,3,2,3,4,3
9812,3,2,2,4,4,5,3,3,3,4
9780,3,5,5,5,3,1,1,2,5,5
9591,3,4,2,2,2,2,3,1,3,3
7244,5,1,3,5,1,1,4,3,2,3
9796,4,3,4,5,4,3,1,3,4,5
5644,2,2,2,1,1,1,3,1,2,3
7418,3,3,5,3,4,1,2,3,4,5
9908,3,2,4,4,1,5,5,1,3,1
9507,5,5,3,3,2,4,3,5,3,1
6296,4,3,4,3,1,3,3,1,3,1
6911,3,1,2,2,5,2,4,1,1,2
6744,3,5,1,2,4,3,2,5,3,5
265,5,5,3,2,4,3,3,2,4,4
9937,2,1,2,2,4,5,2,2,2,4
9815,5,2,2,4,5,3,1,5,4,2
5726,5,4,3,1,3,1,3,5,4,1
9921,1,2,3,3,4,5,4,1,4,5
9814,4,2,5,1,4,4,2,3,3,2
5907,5,4,1,3,4,1,4,2,1,4
7461,4,1,2,5,5,4,5,5,4,1
9933,3,1,5,1,1,3,2,1,5,1
9778,3,1,5,1,2,2,1,5,5,2
10001,1,2,1,1,2,2,3,3,1,2
4884,5,5,2,2,5,2,4,2,3,4
9651,2,2,5,3,3,5,1,3,5,5
5276,4,5,5,2,2,5,5,4,1,2
7186,1,3,2,2,1,3,2,2,5,5
6445,4,3,4,4,2,4,4,3,4,5
6970,1,5,4,1,4,5,2,5,3,2
9590,5,1,4,1,2,1,2,3,3,2
9799,3,3,2,4,1,5,5,2,2,2
7107,3,3,5,1,3,3,3,3,2,3
4826,1,2,4,1,4,3,5,5,5,2
5577,4,3,1,2,3,1,3,1,1,4
9609,1,3,1,1,2,5,2,1,4,2
9515,2,5,3,3,4,4,2,5,5,2
9830,5,4,2,4,3,2,3,4,3,1
10015,3,2,5,5,4,1,3,3,4,1
9809,1,5,5,2,2,1,3,4,4,5
7218,3,1,2,3,4,4,4,4,3,1
7396,2,2,3,1,3,3,1,2,2,5
350,3,1,5,4,5,4,2,5,3,2
9997,5,5,4,1,3,2,2,3,5,2
6041,5,1,5,5,2,4,3,1,1,4
7350,1,3,3,5,5,3,3,3,4,1
7477,4,2,5,2,4,3,2,2,1,3
8238,1,1,4,1,4,4,4,3,2,3
9653,3,5,4,4,1,5,5,4,4,4
6108,1,5,3,3,1,2,3,5,3,3
9808,4,4,5,3,3,4,5,3,2,5
9544,2,4,5,2,4,1,5,1,3,3
9503,3,4,5,4,1,3,4,5,4,2
2317,5,5,5,2,4,4,3,5,1,2
9560,1,4,2,1,2,3,2,4,3,1
7521,2,1,3,4,5,1,5,4,4,2
8334,3,4,3,5,2,2,5,3,1,4
403,3,2,5,5,1,2,1,1,2,3
6992,5,5,4,3,5,2,2,4,1,4
9946,4,5,4,2,4,1,4,5,3,3
6933,5,5,3,4,4,3,4,4,3,2
9768,4,3,2,2,3,4,2,3,3,2
9511,3,5,1,4,4,5,1,1,1,2
9647,3,2,5,4,1,2,4,5,3,5
6966,2,5,4,1,4,3,5,1,1,2
5890,5,2,3,1,3,3,3,1,4,4
5837,4,2,4,2,4,5,5,1,3,4
9981,3,1,5,2,3,2,4,2,1,1
8357,3,4,2,5,2,2,1,1,5,1
9873,1,5,3,4,2,2,4,4,3,2
9510,1,5,3,3,4,2,2,1,2,3
5921,3,1,2,1,2,2,4,2,5,3
9537,2,3,5,4,3,3,5,5,5,3
9965,1,2,5,2,5,2,2,5,4,3
9874,1,4,3,3,4,2,5,1,2,1
9526,3,4,5,5,4,4,4,5,5,5
9725,3,1,4,5,3,2,5,3,4,2
159,3,4,3,2,3,5,1,2,5,5
9924,1,5,4,2,5,5,2,5,1,5
9886,2,5,1,3,4,1,5,5,5,3
9864,1,5,3,5,5,5,1,2,3,5
9776,4,5,3,1,1,4,1,4,3,1
9312,4,1,3,4,5,2,4,3,4,5
9968,2,4,3,5,4,3,1,1,4,4
8077,5,5,1,2,5,2,4,5,1,1
9719,5,3,1,5,4,2,2,1,4,4
9899,4,5,3,5,2,5,3,3,5,5
9983,4,1,4,1,3,3,4,1,2,1
8244,5,5,5,5,1,2,5,4,5,2
9843,3,2,1,2,4,2,2,1,2,1
9972,1,2,3,4,2,4,1,3,2,4
8419,5,1,2,2,5,2,4,4,2,5
9509,2,5,4,3,3,4,3,1,5,5
6908,3,2,5,2,5,5,1,3,5,4
428,5,1,5,4,1,2,5,2,3,5
7164,2,4,2,5,1,1,2,1,1,3
9879,5,2,1,2,3,2,4,5,4,3
7377,5,3,1,5,4,1,1,4,4,4
8343,3,3,2,3,4,4,4,3,5,5
9104,4,3,1,4,3,3,5,3,3,1
9827,5,2,1,4,5,3,4,5,4,2
9573,2,3,4,1,3,4,2,3,5,5
9314,1,2,5,2,3,1,5,4,5,1
6907,3,3,3,2,3,4,4,3,1,3
9980,2,4,4,5,2,4,2,2,3,5
9508,1,2,1,3,1,4,2,2,3,2
9597,4,1,2,1,5,1,4,2,5,3
9939,1,2,4,5,5,4,4,4,5,5
9128,4,5,3,4,1,3,3,3,3,1
9596,2,5,4,1,3,5,4,2,1,3
6989,3,4,2,4,3,2,4,4,5,3
6390,1,1,3,1,4,3,3,5,1,1
9541,3,4,5,2,5,2,4,3,5,4
9949,4,4,4,4,1,5,1,2,3,3
870,2,2,3,3,3,3,1,4,1,1
5353,2,3,2,5,3,2,3,3,2,4
9697,2,3,1,2,3,5,2,5,3,2
9130,2,2,5,1,5,3,1,3,3,3
9793,1,5,4,3,3,1,4,3,2,3
9513,4,3,3,5,5,4,5,4,3,4
9744,5,4,4,5,4,4,4,1,3,4
5720,1,1,5,5,4,1,4,5,1,4
8264,2,3,3,4,3,3,2,4,4,5
9131,1,5,1,5,3,4,5,4,4,5
9856,4,1,4,3,1,3,2,4,1,5
6971,4,3,4,4,2,2,4,1,1,4
9699,5,1,3,5,5,5,5,4,4,5
9737,2,1,2,3,5,5,2,2,2,4
9749,1,4,4,2,4,5,5,4,4,5
9834,1,1,5,4,4,2,2,1,4,5
5893,4,4,5,2,2,4,1,3,1,1
9860,1,4,2,2,4,1,3,5,3,4
9964,1,3,3,2,3,5,3,2,2,5
9519,3,2,2,4,3,2,5,2,1,3
9134,2,4,4,1,1,1,5,1,4,1
8236,5,3,3,3,1,5,3,5,4,3
9556,1,3,5,2,4,2,1,3,1,2
9845,4,4,5,5,4,1,2,5,3,5
10011,1,1,1,2,4,4,1,5,4,2
410,4,4,4,5,1,2,3,4,2,5
351,1,1,4,4,4,1,1,3,5,1
5950,3,1,2,3,3,1,1,2,5,3
8259,5,4,5,3,1,1,3,5,3,2
9534,3,1,1,3,3,1,1,3,4,4
9833,4,4,2,5,5,3,2,5,5,2
7384,1,4,2,1,2,1,1,4,3,2
9617,4,5,2,5,5,4,2,2,1,1
7058,5,5,1,5,2,4,5,4,5,3
9731,5,1,2,2,1,5,2,4,4,1
9645,3,2,2,3,3,2,3,3,2,1
9783,4,4,1,2,3,1,1,5,4,3
9559,4,3,2,5,1,3,1,2,2,3
9658,1,3,1,1,4,4,2,4,2,1
9659,5,4,2,1,1,3,5,1,1,1
9960,2,1,3,3,1,5,2,3,2,1
9595,1,5,5,5,2,3,1,5,2,3
9838,5,1,4,1,2,1,1,5,3,1
5779,4,3,4,4,2,1,5,1,4,5
9649,4,4,2,5,3,3,1,5,2,1
8132,1,3,3,2,2,5,1,5,5,1
9852,5,2,5,3,5,3,3,4,5,5
9133,2,1,2,2,5,4,5,2,2,2
9611,2,4,3,4,5,5,3,5,5,5
9944,5,4,1,1,4,5,1,5,3,3
9841,5,5,4,4,2,4,2,5,2,4
424,4,3,1,3,2,2,2,5,4,4
9713,1,2,2,3,3,5,5,1,3,3
9723,4,2,1,1,1,2,2,1,5,2
9979,2,1,1,3,5,2,1,5,1,3
9868,3,3,1,1,3,3,5,2,1,4
932,1,5,4,5,2,2,3,1,2,5
7917,4,4,5,2,2,3,5,5,5,3
9644,3,5,5,1,1,5,5,4,4,1
9969,1,5,5,1,1,2,3,4,1,4
5874,5,1,3,5,1,1,3,2,3,1
9628,2,2,5,1,4,1,5,5,4,5
5784,2,2,4,4,1,4,3,3,5,2
9663,4,1,1,1,2,3,1,2,2,4
6976,4,3,2,1,5,3,1,5,5,4
9610,3,2,1,4,4,4,5,2,1,4
2016,5,2,4,1,5,4,2,5,5,4
9835,4,2,1,2,4,2,1,3,4,5
9547,2,5,3,2,1,4,3,1,3,1
7288,2,1,1,4,2,2,1,3,4,4
9704,4,4,4,4,1,4,1,5,2,1
7353,3,5,2,1,2,2,1,3,5,2
7102,5,3,1,4,2,5,4,3,2,2
9741,5,2,4,2,5,2,1,4,2,3
9613,5,4,5,1,2,4,5,1,1,4
9962,1,5,4,4,5,3,2,2,4,5
9115,1,5,5,2,4,4,2,2,2,2
9821,1,1,3,5,5,3,4,1,5,1
9565,1,1,4,2,5,1,4,2,4,4
8337,4,4,3,4,4,3,1,3,5,1
9976,3,4,5,5,3,4,4,1,3,1
9707,1,1,5,3,3,4,4,3,1,3
9762,4,3,3,1,1,4,5,2,3,5
9826,2,4,1,2,2,4,3,1,1,3
9756,1,2,4,4,2,3,1,3,4,2
9600,1,1,5,1,4,4,5,4,5,2
9639,5,4,3,2,5,1,1,4,1,2
5151,5,4,1,1,2,1,4,3,4,5
9738,5,3,1,3,5,2,5,1,2,4
9938,3,4,1,4,5,3,5,3,2,4
9735,3,3,5,4,4,3,4,5,5,3
9624,4,1,1,2,4,3,3,2,5,4
9620,5,2,2,2,1,1,1,1,5,1
7320,2,3,2,1,1,4,5,2,4,3
9629,4,5,5,1,1,4,3,1,4,3
9876,2,4,4,4,4,2,3,5,1,3
9693,4,2,5,5,3,4,3,2,1,2
9743,3,5,4,4,4,5,2,3,3,4
9990,1,4,5,1,5,1,2,1,2,3
10010,3,1,3,4,4,5,4,5,2,2
8424,5,1,5,3,5,1,1,1,5,2
9915,3,4,2,3,2,4,4,1,1,4
1890,5,5,1,2,5,4,5,4,1,4
7033,3,3,4,3,5,3,3,5,3,4
7717,2,1,5,1,5,1,3,4,2,1
8246,3,4,3,3,5,2,5,5,2,5
9958,2,5,1,3,2,5,2,5,4,1
9527,1,3,3,4,5,4,5,4,4,5
